GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.5087,100,20,1,0.9,50,0,0,0,0,0,0,0,0,0,68,0.213769,0.000194043,0.0745253,0.5,0.00026178,0.0909091,0,0,0
1,172,1,6.51227,100,20,1,0.9,81,0,2,7,0.601229,7,0.546036,6,0.781921,0.987952,68,0.209273,0.000188019,0.072995,0.5,0.00026178,0.0909091,0,0,0
2,251,2,6.50756,100,20,1,0.909,118,0,4,1,0.611837,0,0.546036,19,0.824573,1.77,68,0.234456,0.000211212,0.0826869,0.5,0.00026178,0.0909091,0,0,0
3,299,3,6.4833,100,20,1,0.9171,140,0,12,10,0.700672,8,0.663356,2,0.823746,2.44,68,0.277174,0.000247312,0.0976162,0.5,0.00026178,0.0909091,0,0,0
4,357,4,6.42978,100,20,1,0.92439,167,0,16,9,0.684115,2,0.658857,9,0.835842,2.94,68,0.317453,0.000263081,0.10497,0.5,0.00026178,0.0909091,0.1875,0.000292398,0.111111
5,427,5,6.38983,100,20,1,0.930951,200,0,22,1,0.684302,11,0.658856,8,0.823107,3.31,68,0.341259,0.000263516,0.105061,0.5,0.00026178,0.0909091,0.25,0.000295858,0.111111
6,498,6,6.34721,100,20,1,0.936856,233,1,25,3,0.677195,5,0.661854,12,0.821639,3.7,68,0.356445,0.000258089,0.104525,0.5,0.00026178,0.0909091,0.294118,0.000292398,0.111111
7,571,7,6.29701,100,20,1,0.94217,267,1,27,4,0.667556,6,0.65262,10,0.820417,3.88,68,0.367202,0.000260882,0.104747,0.5,0.00026178,0.0909091,0.333333,0.000135501,0.1
8,631,8,6.29538,100,20,1,0.946953,295,1,30,9,0.643669,2,0.647197,9,0.82236,4.36,68,0.376667,0.000260941,0.103424,0.5,0.00026178,0.0909091,0.333333,0.000285714,0.111111
9,704,9,6.26274,100,20,1,0.951258,329,1,34,2,0.642363,7,0.632997,11,0.834404,4.81,68,0.387366,0.000251286,0.101657,0.52381,0.000135501,0.1,0.352941,0.000295858,0.111111
10,775,10,6.30347,100,20,1,0.955132,362,1,38,3,0.652062,5,0.629801,12,0.838103,5.24,68,0.400706,0.000237109,0.0991515,0.608696,0.000127877,0.1,0.352941,0.000295858,0.111111
11,848,11,6.33373,100,20,1,0.958619,396,1,38,6,0.664341,2,0.634979,12,0.834693,3.63,68,0.407908,0.000231042,0.098101,0.608696,0.000127877,0.1,0.352941,0.000295858,0.111111
12,917,12,6.34552,100,20,1,0.961757,428,1,38,8,0.657842,2,0.64082,10,0.83636,3.58,68,0.418941,0.000233939,0.0983434,0.608696,0.000127877,0.1,0.368421,0.00026178,0.0909091
13,988,13,6.32969,100,20,1,0.964581,461,1,43,2,0.653678,8,0.660542,10,0.842908,3.53,68,0.436281,0.000223679,0.0986667,0.608696,0.000127877,0.1,0.388889,0.00026178,0.111111
14,1054,14,6.29324,100,20,1,0.964581,492,1,48,4,0.640571,6,0.671793,10,0.840454,3.74,68,0.444189,0.00021641,0.0977071,0.608696,0.000127877,0.1,0.388889,0.000292398,0.111111
15,1134,15,6.24947,100,20,1,0.967123,529,1,48,3,0.625291,5,0.678573,12,0.838676,3.63,68,0.460652,0.000213451,0.0988586,0.608696,0.000127877,0.1,0.4,0.000239234,0.0909091
16,1199,16,6.24222,100,20,1,0.969411,559,1,53,5,0.616343,9,0.687414,6,0.840164,3.96,68,0.474498,0.000210038,0.100232,0.608696,0.000127877,0.1,0.421053,0.00026178,0.0909091
17,1270,17,6.22859,100,20,1,0.97147,592,2,56,3,0.616673,5,0.689926,12,0.841971,3.93,68,0.488447,0.000198638,0.100242,0.608696,0.000127877,0.1,0.428571,0.000133333,0.1
18,1343,18,6.20338,100,20,1,0.973323,626,2,58,4,0.616835,3,0.691933,13,0.84118,3.98,68,0.501209,0.000185708,0.0991515,0.608696,0.000127877,0.1,0.45,0.000135501,0.1
19,1414,19,6.19286,100,20,1,0.974991,659,3,64,0,0.616835,10,0.693994,10,0.842037,3.84,68,0.516349,0.000190064,0.0994343,0.608696,0.000134048,0.1,0.45,0.000259067,0.0909091
20,1488,20,6.13103,100,20,1,0.976491,694,3,66,3,0.610207,4,0.696205,13,0.842252,3.77,68,0.528647,0.000181972,0.0983636,0.666667,0.000127877,0.1,0.473684,0.00026178,0.111111
21,1565,21,6.05861,100,20,1,0.977842,731,3,67,2,0.604193,8,0.691679,10,0.841361,3.85,68,0.538659,0.000185927,0.0967879,0.666667,0.000127877,0.1,0.47619,0.000236967,0.0909091
22,1640,22,5.93174,100,20,1,0.979058,767,3,69,2,0.597625,4,0.689339,14,0.844843,3.85,68,0.55749,0.000180955,0.0969495,0.666667,0.000127877,0.1,0.5,0.000134048,0.1
23,1705,23,5.91419,100,20,1,0.980152,798,3,74,4,0.578014,4,0.689056,12,0.844691,4.11,68,0.563098,0.000177423,0.0974242,0.666667,0.000127877,0.1,0.5,0.00026178,0.0909091
24,1776,24,5.8872,100,20,1,0.981137,832,3,78,2,0.567656,6,0.689897,12,0.844334,4.26,68,0.579051,0.000165663,0.0982424,0.666667,0.000127877,0.1,0.52381,0.000134771,0.1
25,1853,25,5.86135,100,20,1,0.982023,869,3,79,2,0.55833,7,0.695795,11,0.843337,3.98,68,0.590635,0.000166945,0.0977475,0.666667,0.000127877,0.1,0.545455,0.000127877,0.1
26,1920,26,5.81774,100,20,1,0.982821,901,3,86,1,0.554195,6,0.700191,13,0.843607,3.92,68,0.598846,0.000164235,0.0977273,0.666667,0.000127877,0.1,0.571429,0.000135501,0.1
27,1989,27,5.78863,100,20,1,0.983539,934,3,89,4,0.538476,7,0.696924,9,0.843073,4.3,68,0.603306,0.000151076,0.0985455,0.666667,0.000127877,0.1,0.571429,0.00026455,0.0909091
28,2064,28,5.74697,100,20,1,0.984185,970,3,91,2,0.531502,2,0.696381,16,0.844777,4,68,0.609882,0.000138848,0.0993636,0.72,0.000127877,0.1,0.590909,0.000128535,0.1
29,2131,29,5.79128,100,20,1,0.984767,1002,4,97,1,0.528366,3,0.695207,16,0.843799,4.34,68,0.612098,0.000141593,0.0991818,0.72,0.000127877,0.1,0.590909,0.000134771,0.1
30,2206,30,5.69348,100,20,1,0.98529,1038,4,100,1,0.525561,3,0.693041,16,0.840771,4.46,68,0.61763,0.000141928,0.0990909,0.72,0.000127877,0.1,0.590909,0.00025641,0.0909091
31,2277,31,5.62416,100,20,1,0.985761,1072,4,106,0,0.525561,6,0.689059,14,0.838669,4.51,68,0.622115,0.000132834,0.0997273,0.72,0.000127877,0.1,0.608696,0.000127226,0.1
32,2350,32,5.67974,100,20,1,0.986185,1107,4,109,2,0.519555,6,0.692961,12,0.838313,4.69,68,0.624865,0.00013856,0.0993636,0.72,0.000127877,0.1,0.608696,0.000127877,0.1
33,2427,33,5.69836,100,20,1,0.986566,1144,4,110,2,0.513706,4,0.695346,14,0.839543,5.12,68,0.630333,0.000141499,0.0991818,0.72,0.000127877,0.1,0.608696,0.000127877,0.1
34,2500,34,5.73948,100,20,1,0.98691,1179,4,110,5,0.505137,4,0.697149,11,0.840537,4.68,68,0.637845,0.000143537,0.0990909,0.72,0.000127877,0.1,0.608696,0.000127877,0.1
35,2575,35,5.79907,100,20,1,0.987219,1215,4,113,1,0.503654,7,0.702418,12,0.838941,3.6,68,0.644727,0.000145892,0.099,0.72,0.000127877,0.1,0.608696,0.000127877,0.1
36,2642,36,5.76659,100,20,1,0.987497,1247,5,119,1,0.502223,4,0.704231,15,0.838493,3.77,68,0.653092,0.000144264,0.0990909,0.72,0.000127877,0.1,0.608696,0.000134771,0.1
37,2723,37,5.74659,100,20,1,0.987747,1286,5,119,1,0.500807,3,0.703968,16,0.837419,4.04,68,0.659437,0.00014924,0.0987273,0.72,0.000127877,0.1,0.636364,0.000259067,0.0909091
38,2792,38,5.64578,100,20,1,0.987972,1319,5,125,1,0.499445,5,0.702473,14,0.838077,4.13,68,0.664747,0.000135003,0.0997273,0.72,0.000127877,0.1,0.64,0.000132626,0.1
39,2867,39,5.6662,100,20,1,0.988175,1355,5,127,2,0.496727,9,0.702517,9,0.837603,4.1,68,0.672184,0.000135694,0.0996364,0.72,0.000127877,0.1,0.64,0.000133333,0.1
40,2947,40,5.68379,100,20,1,0.988358,1393,5,129,0,0.496727,6,0.705665,14,0.837313,4.06,68,0.676305,0.00013843,0.0994545,0.72,0.000127877,0.1,0.652174,0.000128535,0.1
41,3022,41,5.64577,100,20,1,0.988522,1429,5,133,0,0.496727,9,0.706536,11,0.836534,3.84,68,0.683683,0.000138844,0.0993636,0.72,0.000127877,0.1,0.652174,0.00025641,0.0909091
42,3095,42,5.61697,100,20,1,0.98867,1464,5,138,0,0.496727,9,0.708667,11,0.837152,4.29,68,0.687476,0.000135125,0.0996364,0.72,0.000134048,0.1,0.666667,0.000127877,0.1
43,3167,43,5.64699,100,20,1,0.988803,1498,5,141,3,0.48866,5,0.709182,12,0.83474,4.59,68,0.690551,0.000135299,0.0996364,0.72,0.000134048,0.1,0.666667,0.000127877,0.1
44,3243,44,5.65462,100,20,1,0.988922,1533,5,146,0,0.48866,3,0.70859,17,0.833592,4.08,68,0.696006,0.000135827,0.0996364,0.72,0.000134048,0.1,0.666667,0.000127877,0.1
45,3319,45,5.60669,100,20,1,0.98903,1568,5,150,1,0.485368,5,0.705253,14,0.833822,4.22,68,0.702021,0.000137461,0.0995455,0.730769,0.000127877,0.1,0.68,0.000127877,0.1
46,3388,46,5.58094,100,20,1,0.989127,1600,5,157,1,0.482152,10,0.703126,9,0.831722,4.1,68,0.704262,0.000137462,0.0995455,0.730769,0.000127877,0.1,0.68,0.000134048,0.1
47,3467,47,5.57645,100,20,1,0.989214,1637,5,160,0,0.482152,4,0.703638,16,0.83153,4.24,68,0.708213,0.000138857,0.0994545,0.76,0.000128535,0.1,0.692308,0.000133333,0.1
48,3543,48,5.57568,100,20,1,0.989293,1672,5,165,0,0.482152,5,0.704401,15,0.83021,4.45,68,0.711957,0.000139943,0.0993636,0.76,0.000134771,0.1,0.692308,0.000133333,0.1
