GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.65544,50,20,1,0.9,50,0,0,0,0,0,0,0,0,0,88,0.136393,9.45872e-05,0.0476667,0.451613,0.000191571,0.1,0,0,0
1,163,1,6.61287,50,20,1,0.9,77,0,6,7,0.427691,7,0.262514,6,0.830987,0.98,88,0.182604,0.000130224,0.0656667,0.451613,0.000191571,0.1,0,0,0
2,243,2,6.4776,50,20,1,0.909,115,0,8,0,0.427691,0,0.262514,20,0.79986,1.52,88,0.289982,0.000195533,0.0993333,0.451613,0.000191571,0.1,0.166667,0.000220264,0.1
3,299,3,6.43989,50,20,1,0.9171,141,0,10,12,0.633898,1,0.268633,7,0.820816,1.96,88,0.343727,0.000192286,0.1,0.515152,0.000188679,0.1,0.24,0.000220264,0.1
4,366,4,6.33416,50,20,1,0.92439,173,0,14,4,0.64014,4,0.375704,12,0.832812,2.26,88,0.374221,0.000189748,0.1,0.515152,0.000188679,0.1,0.307692,0.000212766,0.1
5,434,5,6.21805,50,20,1,0.930951,205,0,16,6,0,4,0.836235,10,0.868682,2.28,88,0.408506,0.00018742,0.1,0.515152,0.000188679,0.1,0.357143,0.000177936,0.1
6,485,6,6.19592,50,20,1,0.936856,229,0,21,11,0.713348,9,0.802185,0,0.868682,2.6,88,0.428171,0.000189504,0.1,0.515152,0.000188679,0.1,0.357143,0.000200803,0.1
7,562,7,6.02374,50,20,1,0.94217,266,0,23,1,0.700972,3,0.800832,16,0.875505,2.56,88,0.444191,0.000191053,0.1,0.515152,0.000188679,0.1,0.413793,0.000176678,0.1
8,622,8,5.75815,50,20,1,0.946953,294,1,30,4,0.658417,14,0.744831,2,0.873965,2.72,88,0.457559,0.000191038,0.1,0.515152,0.000188679,0.1,0.433333,0.000191571,0.1
9,674,9,5.65838,50,20,1,0.951258,319,2,36,8,0.558769,5,0.755531,7,0.873399,3.04,88,0.464659,0.000191078,0.1,0.515152,0.000188679,0.1,0.451613,0.000190114,0.1
10,748,10,5.66142,50,20,1,0.955132,354,2,40,1,0.561852,2,0.757875,17,0.859333,3.68,88,0.472382,0.000190905,0.1,0.515152,0.000188679,0.1,0.451613,0.000191571,0.1
11,805,11,5.69023,50,20,1,0.958619,381,2,46,7,0.588886,5,0.757658,8,0.860998,4.28,88,0.48067,0.000190597,0.1,0.515152,0.000188679,0.1,0.451613,0.000191571,0.1
12,871,12,5.77247,50,20,1,0.961757,412,5,51,1,0.590143,8,0.716481,11,0.863992,4,88,0.493893,0.00018964,0.1,0.571429,0.000185874,0.1,0.451613,0.000191571,0.1
13,940,13,5.6433,50,20,1,0.964581,445,5,55,3,0.590212,2,0.703283,15,0.858556,2.84,88,0.51314,0.000187222,0.1,0.571429,0.000185874,0.1,0.5,0.000188679,0.1
14,996,14,5.63848,50,20,1,0.967123,471,6,64,4,0.593017,7,0.694604,9,0.859787,3.28,88,0.51765,0.000186982,0.1,0.571429,0.000185874,0.1,0.5,0.000190114,0.1
15,1061,15,5.59264,50,20,1,0.969411,502,6,68,5,0.59037,3,0.690765,12,0.860197,3.28,88,0.524477,0.000186767,0.1,0.571429,0.000185874,0.1,0.515152,0.000176678,0.1
