GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.45216,20,10,1,0.9,10,0,0,0,0,0,0,0,0,0,124,0.0411765,3.3557e-05,0.01,0.411765,0.00033557,0.1,0,0,0
1,46,1,6.43273,20,10,1,0.909,22,0,4,4,0.50345,3,0.535117,3,0.686148,0.95,124,0.0617647,5.03356e-05,0.015,0.411765,0.00033557,0.1,0,0,0
2,79,2,6.41892,20,10,1,0.9171,38,1,7,0,0.50345,4,0.559913,6,0.783686,1.85,124,0.0823529,6.71141e-05,0.02,0.411765,0.00033557,0.1,0,0,0
3,106,3,6.41892,20,10,1,0.92439,51,1,9,5,0.608811,1,0.575788,4,0.796138,2.8,124,0.0823529,6.71141e-05,0.02,0.411765,0.00033557,0.1,0,0,0
4,145,4,6.28354,20,10,1,0.930951,69,1,11,0,0.608811,7,0.660474,3,0.798453,2.7,124,0.205882,0.000168014,0.05,0.411765,0.000340136,0.1,0,0,0
5,176,5,5.94864,20,10,1,0.936856,83,1,13,4,0.649261,0,0.660474,6,0.81001,2.45,124,0.323109,0.000268246,0.08,0.411765,0.000340136,0.1,0,0,0
6,204,6,5.60422,20,10,1,0.94217,96,2,16,3,0.669005,5,0.695822,2,0.82004,2.35,124,0.416176,0.000333813,0.1,0.5,0.000295858,0.1,0.411765,0.00033557,0.1
7,234,7,5.59977,20,10,1,0.946953,110,2,18,4,0.669488,4,0.707758,2,0.827033,3.2,124,0.416176,0.00033427,0.1,0.5,0.000295858,0.1,0.411765,0.00033557,0.1
8,264,8,5.59987,20,10,1,0.951258,124,2,20,4,0.665809,2,0.717269,4,0.837312,3.95,124,0.416176,0.000334726,0.1,0.5,0.000295858,0.1,0.411765,0.00033557,0.1
9,295,9,5.59662,20,10,1,0.955132,138,2,24,2,0.65408,6,0.741958,2,0.842148,4.1,124,0.419272,0.000334972,0.1,0.5,0.000295858,0.1,0.411765,0.00033557,0.1
10,327,10,5.60314,20,10,1,0.958619,153,2,27,2,0.643922,4,0.751443,4,0.844879,3.9,124,0.423684,0.000333672,0.1,0.5,0.000295858,0.1,0.411765,0.00033557,0.1
11,360,11,5.62967,20,10,1,0.961757,168,3,30,1,0.644675,4,0.754114,5,0.847965,2.5,124,0.431192,0.000332338,0.1,0.5,0.000299401,0.1,0.411765,0.000340136,0.1
12,388,12,5.63425,20,10,1,0.964581,181,3,36,1,0.645268,3,0.752338,6,0.84589,3.35,124,0.4387,0.000329634,0.1,0.5,0.000299401,0.1,0.411765,0.000340136,0.1
13,421,13,5.68328,20,10,1,0.967123,196,3,39,2,0.642711,3,0.748556,5,0.848896,3.95,124,0.446207,0.000327165,0.1,0.5,0.000299401,0.1,0.411765,0.000340136,0.1
14,456,14,5.76845,20,10,1,0.969411,212,3,41,2,0.642524,2,0.748054,6,0.852121,2.45,124,0.480504,0.000309856,0.1,0.5,0.000299401,0.1,0.411765,0.000340136,0.1
15,490,15,5.76618,20,10,1,0.97147,228,3,45,0,0.642524,1,0.747975,9,0.853103,2,124,0.505502,0.000295577,0.1,0.545455,0.000295858,0.1,0.473684,0.000331126,0.1
16,518,16,5.72817,20,10,1,0.973323,241,3,51,1,0.642417,6,0.745697,3,0.854115,2.55,124,0.509091,0.000296946,0.1,0.545455,0.000299401,0.1,0.5,0.000295858,0.1
17,545,17,5.74107,20,10,1,0.974991,254,3,57,1,0.64231,6,0.753469,3,0.854593,2.25,124,0.515909,0.00029697,0.1,0.545455,0.000299401,0.1,0.5,0.000299401,0.1
18,574,18,5.74387,20,10,1,0.976491,267,3,59,5,0.630068,1,0.754511,4,0.850276,3.1,124,0.518182,0.000296632,0.1,0.545455,0.000299401,0.1,0.5,0.000299401,0.1
19,610,19,5.75134,20,10,1,0.977842,284,3,61,1,0.62558,1,0.755421,8,0.844669,3.7,124,0.522727,0.000296303,0.1,0.545455,0.000299401,0.1,0.5,0.000299401,0.1
20,643,20,5.74739,20,10,1,0.979058,300,3,61,4,0.597119,0,0.755421,6,0.839835,4.25,124,0.52619,0.000295265,0.1,0.545455,0.000299401,0.1,0.5,0.000299401,0.1
21,680,21,5.73078,20,10,1,0.980152,317,3,63,1,0.590653,3,0.757169,6,0.836403,2.85,124,0.54329,0.000291601,0.1,0.545455,0.000299401,0.1,0.52381,0.000285714,0.1
22,715,22,5.74741,20,10,1,0.981137,333,3,65,2,0.580367,3,0.759482,5,0.835713,3.2,124,0.545455,0.000294329,0.1,0.545455,0.000299401,0.1,0.545455,0.000289017,0.1
23,741,23,5.72791,20,10,1,0.982023,345,4,71,1,0.57661,5,0.75911,4,0.833016,3.3,124,0.545455,0.000295009,0.1,0.545455,0.000299401,0.1,0.545455,0.000289017,0.1
24,778,24,5.60297,20,10,1,0.982821,362,4,74,0,0.57661,7,0.762746,3,0.831091,3.15,124,0.545455,0.000296212,0.1,0.545455,0.000299401,0.1,0.545455,0.000295858,0.1
25,808,25,5.62873,20,10,1,0.983539,376,4,78,2,0.575656,2,0.763996,6,0.82465,4,124,0.545455,0.000296567,0.1,0.545455,0.000299401,0.1,0.545455,0.000295858,0.1
26,845,26,5.64099,20,10,1,0.984185,393,4,81,0,0.575656,5,0.764896,5,0.822341,4.35,124,0.545455,0.000296921,0.1,0.545455,0.000299401,0.1,0.545455,0.000295858,0.1
27,845,26,5.64099,20,10,1,0.984185,393,4,81,0,0.575656,5,0.764896,5,0.822341,4.35,124,0.545455,0.000296921,0.1,0.545455,0.000299401,0.1,0.545455,0.000295858,0.1
