GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	6,45216	20	30	1	0,9	10	0	0	0	0	0	0	0	0	0	124	0,0411765	3,3557e-05	0,01	0,411765	0,00033557	0,1	0	0	0
1	103	1	6,38704	20	30	1	0,909	50	3	7	10	0,75045	10	0,604198	10	0,709428	0,95	124	0,138305	0,000115927	0,035	0,5	0,000295858	0,1	0	0	0
2	179	2	6,07907	20	30	1	0,9171	87	3	13	17	0,763483	5	0,67746	8	0,754962	1,45	124	0,321076	0,000257652	0,08	0,5	0,000295858	0,1	0	0	0
3	281	3	5,71039	20	30	1	0,92439	136	3	19	5	0,766052	9	0,719981	16	0,815987	1,6	124	0,455842	0,000320566	0,1	0,545455	0,000295858	0,1	0,411765	0,00033557	0,1
4	362	4	5,68905	20	30	1	0,930951	175	5	28	10	0,742122	9	0,71887	11	0,830534	1,45	124	0,500957	0,000297799	0,1	0,545455	0,000295858	0,1	0,473684	0,000331126	0,1
5	453	5	5,68184	20	30	1	0,936856	219	8	38	3	0,739622	11	0,723238	16	0,845999	1,9	124	0,510281	0,000296752	0,1	0,545455	0,000295858	0,1	0,5	0,000295858	0,1
6	543	6	5,71572	20	30	1	0,94217	262	12	44	7	0,738169	9	0,719311	14	0,85478	1,45	124	0,529654	0,000296419	0,1	0,545455	0,000295858	0,1	0,5	0,000299401	0,1
7	620	7	5,61672	20	30	1	0,946953	299	15	57	7	0,714278	9	0,725643	14	0,849226	1,5	124	0,545455	0,000295512	0,1	0,545455	0,000295858	0,1	0,545455	0,000292398	0,1
8	709	8	5,61978	20	30	1	0,951258	342	15	63	11	0,670033	4	0,726549	15	0,852477	2,2	124	0,545455	0,000295858	0,1	0,545455	0,000295858	0,1	0,545455	0,000295858	0,1
9	805	9	5,61978	20	30	1	0,955132	388	18	70	4	0,660049	8	0,727161	18	0,859159	3,15	124	0,545455	0,000295858	0,1	0,545455	0,000295858	0,1	0,545455	0,000295858	0,1
